value	namei	namej
0.782361530228633	Phosphatidylethanolamines	Phosphatidylcholines
0.728900145376835	Hydroxy acids and derivatives	Azolidines
0.703016750571476	Sphingolipids	Phosphatidylcholines
0.686750185535371	1-acyl-sn-glycero-3-phosphocholines	1-acyl-sn-glycero-3-phosphoethanolamines
0.685908859820106	Benzenesulfonic acids and derivatives	Beta-diketones
0.683029046970488	Hydroxy acids and derivatives	Phosphatidylcholines
0.680412560997745	1-acyl-sn-glycero-3-phosphoethanolamines	Sphingolipids
0.655930626901678	Azolidines	Phosphatidylcholines
0.655226004263584	1-alkyl,2-acylglycero-3-phosphocholines	Pyridines and derivatives
0.623379060199711	Oligopeptides	Benzenesulfonic acids and derivatives
0.61324756016249	Azolidines	Sphingolipids
0.606208590972093	Sphingolipids	Phosphatidylethanolamines
0.597970797791352	Benzodioxoles	Cinnamic acids and derivatives
0.584670768217511	Gluco/mineralocorticoids, progestogins and derivatives	Sesquiterpenoids
0.571223895569071	Hydroxy acids and derivatives	Sphingolipids
0.566200965854057	Tetrahydroisoquinolines	Benzene and substituted derivatives
0.555188257241205	Gluco/mineralocorticoids, progestogins and derivatives	Fatty alcohols
0.535076374078323	Tricarboxylic acids and derivatives	Fatty acids and conjugates
0.525369613597669	Azolidines	Phosphatidylethanolamines
0.52318551921513	1-acyl-sn-glycero-3-phosphocholines	Sphingolipids
0.521087444978576	Hydroxy acids and derivatives	Phosphatidylethanolamines
0.516577502911537	Alkyl-phenylketones	Flavonoids
0.499464059023601	Hydroxy acids and derivatives	1-acyl-sn-glycero-3-phosphoethanolamines
0.499319679916832	1-acyl-sn-glycero-3-phosphoethanolamines	Phosphatidylethanolamines
0.493550608282021	Azolidines	L-alpha-amino acids
0.491311464220789	Ergosterols and derivatives	Cholesterols and derivatives
0.469314928720005	Acyclic diterpenoids	Diterpenoids
0.467212264758395	1-acyl-sn-glycero-3-phosphoethanolamines	Phosphatidylcholines
0.466529632716423	Azolidines	1-acyl-sn-glycero-3-phosphoethanolamines
0.466520326574011	N-acyl-alpha amino acids	Phenols
0.463762109555508	Bile acids, alcohols and derivatives	Benzopyrans
0.462772971781619	Sphingolipids	Cholesteryl esters
0.460314859408307	Benzopyrans	Phenol ethers
0.446028927792912	Benzene and substituted derivatives	Phenols
0.441795290436909	Fatty alcohols	Sesquiterpenoids
0.431904876174068	Phenol ethers	Flavonoids
0.427312511761119	1-acyl-sn-glycero-3-phosphocholines	Hydroxy acids and derivatives
0.424561729682537	L-alpha-amino acids	1-alkyl,2-acylglycero-3-phosphocholines
0.423208069153305	Quinolines and derivatives	Brassinolides and derivatives
0.415923517194821	Hydroxy acids and derivatives	L-alpha-amino acids
0.409020522934925	1-acyl-sn-glycero-3-phosphocholines	Azolidines
0.405786651152107	Organic sulfuric acids and derivatives	Dipeptides
0.398947938314302	Bile acids, alcohols and derivatives	Very long-chain fatty acids
0.39566455723033	Glutamine and derivatives	Phosphatidylcholines
0.391859449298442	1-acyl-sn-glycero-3-phosphocholines	L-alpha-amino acids
0.377612030124133	1-acyl-sn-glycero-3-phosphocholines	1-monoacylglycerols
0.37643261306266	L-alpha-amino acids	Amino acids, peptides, and analogues
0.367525537642208	Phenol ethers	Very long-chain fatty acids
0.365992395613183	Coumarins and derivatives	Thiazoles
0.361862622983521	Oligopeptides	Beta-diketones
0.36126440315595	Benzopyrans	Very long-chain fatty acids
0.360903809524068	1-acyl-sn-glycero-3-phosphoethanolamines	Cholesteryl esters
0.353037154988659	Oligopeptides	Phosphatidylethanolamines
0.351882825731103	Cholesterols and derivatives	Imidazopyrimidines
0.349370337816042	Gluco/mineralocorticoids, progestogins and derivatives	1,3-diacylglycerols
0.348643294978126	Azolidines	Amino acids, peptides, and analogues
0.34744223667652	Benzopyrans	Acyclic diterpenoids
0.343376149180185	Azolidines	Peptidomimetics
0.342804407308545	Hydroxybenzoic acid derivatives	Acyclic diterpenoids
0.341596349374137	Phenol ethers	Alkyl-phenylketones
0.341116617216482	Sphingolipids	Glutamine and derivatives
0.338429717542813	1-monoacylglycerols	Fatty acids and conjugates
0.338124285273806	Tricarboxylic acids and derivatives	Peptides
0.33418172843579	1,2-diacylglycerols	1,3-diacylglycerols
0.332333496136341	Very long-chain fatty acids	Organonitrogen compounds
0.331206024569432	Azolidines	Glutamine and derivatives
0.32782575072693	Bile acids, alcohols and derivatives	Hydroxy acids and derivatives
0.325640273730054	Bile acids, alcohols and derivatives	Dicarboxylic acids and derivatives
0.324917281740118	L-alpha-amino acids	1-acyl-sn-glycero-3-phosphoethanolamines
0.323133402295189	Coumarins and derivatives	Phenylpropanes
0.322591724334399	Medium-chain fatty acids	Phenylpropanes
0.320566688270675	Bile acids, alcohols and derivatives	Phenol ethers
0.31623673789963	1-acyl-sn-glycero-3-phosphocholines	Phosphatidylethanolamines
0.315294286623886	Dicarboxylic acids and derivatives	Coumarins and derivatives
0.312623578703948	Tricarboxylic acids and derivatives	1-monoacylglycerols
0.311650463122267	Bile acids, alcohols and derivatives	L-alpha-amino acids
0.309414771504602	Bile acids, alcohols and derivatives	1-acyl-sn-glycero-3-phosphocholines
0.309375943894541	L-alpha-amino acids	Pyridines and derivatives
0.309221802082728	Ketones	Acyl carnitines
0.309013717469016	Very long-chain fatty acids	Tetrahydroxy bile acids, alcohols and derivatives
0.308490997311332	Hydroxy acids and derivatives	Benzopyrans
0.305597411878048	Peptides	Glutamine and derivatives
0.304467327810583	L-alpha-amino acids	Sphingolipids
0.303472763032142	Azolidines	Indoles and derivatives
0.301421912319476	Hydroxy acids and derivatives	Peptidomimetics
0.298575574396891	Fatty acid esters	Long-chain fatty acids
0.297722510184564	Ketones	Long-chain fatty acids
0.297580176706135	Phenol ethers	Organonitrogen compounds
0.29661441246017	1-acyl-sn-glycero-3-phosphocholines	Dicarboxylic acids and derivatives
0.295528890467391	Acyl carnitines	Organonitrogen compounds
0.289617434826609	Azolidines	Cholesteryl esters
0.288980557746076	Purine nucleosides	Thiazoles
0.287817938466582	Tetrahydroxy bile acids, alcohols and derivatives	Organonitrogen compounds
0.284053192390941	Phosphatidylcholines	Cholesteryl esters
0.281502904017811	Cholesterols and derivatives	Stigmastanes and derivatives
0.280004556885487	Hydroxy acids and derivatives	Glutamine and derivatives
0.269565890757161	Hydroxycinnamic acids and derivatives	Peptides
0.268578437323754	Hydroxy acids and derivatives	Very long-chain fatty acids
0.267662648155582	Phosphatidylethanolamines	Cholesteryl esters
0.265632886751966	Benzopyrans	Alpha amino acids
0.264312337794494	N-acyl-alpha amino acids	Lineolic acids and derivatives
0.263201660823912	Keto acids and derivatives	Thiazoles
0.263021688366786	O-glycosyl compounds	Imidazopyrimidines
0.262941490905603	L-alpha-amino acids	Benzopyrans
0.261894664005887	1-acyl-sn-glycero-3-phosphocholines	Cholesteryl esters
0.261800259221017	Glutamine and derivatives	Phosphatidylethanolamines
0.257107669082891	Bile acids, alcohols and derivatives	Phenolic glycosides
0.253760907816599	Coumarins and derivatives	Purine nucleosides
0.253539257849283	Bile acids, alcohols and derivatives	Coumarins and derivatives
0.252013828544447	Sphingolipids	Amino acids, peptides, and analogues
0.249975687358051	Quinolines and derivatives	Phenolic glycosides
0.248950407003492	1-acyl-sn-glycero-3-phosphoethanolamines	1-monoacylglycerols
0.248149776854791	Coumarins and derivatives	Benzoic acid esters
0.247087726311655	Coumarins and derivatives	1-monoacylglycerols
0.245706070191042	Monoterpenoids	Long-chain fatty acids
0.245381019512059	1-acyl-sn-glycero-3-phosphoethanolamines	Amino acids, peptides, and analogues
0.244846032148191	Sphingolipids	1-monoacylglycerols
0.244762991006796	Hydroxy acids and derivatives	Phenol ethers
0.243443706954089	Phenol ethers	Acyclic diterpenoids
0.23832516356312	Carboximidic acids and derivatives	Ketones
0.235839059916503	Ergosterols and derivatives	Imidazopyrimidines
0.232198002411496	L-alpha-amino acids	Peptidomimetics
0.231340536182536	1-monoacylglycerols	Thiazoles
0.22930645858728	Dicarboxylic acids and derivatives	Benzopyrans
0.229121402657819	Organic sulfuric acids and derivatives	Acyl carnitines
