value	namei	namej
0.728900145376835	Hydroxy acids and derivatives	Azolidines
0.686750185535371	1-acyl-sn-glycero-3-phosphocholines	1-acyl-sn-glycero-3-phosphoethanolamines
0.680412560997745	1-acyl-sn-glycero-3-phosphoethanolamines	Sphingolipids
0.61324756016249	Azolidines	Sphingolipids
0.571223895569071	Hydroxy acids and derivatives	Sphingolipids
0.52318551921513	1-acyl-sn-glycero-3-phosphocholines	Sphingolipids
0.516577502911537	Alkyl-phenylketones	Flavonoids
0.499464059023601	Hydroxy acids and derivatives	1-acyl-sn-glycero-3-phosphoethanolamines
0.493550608282021	Azolidines	L-alpha-amino acids
0.491311464220789	Ergosterols and derivatives	Cholesterols and derivatives
0.466529632716423	Azolidines	1-acyl-sn-glycero-3-phosphoethanolamines
0.463762109555508	Bile acids, alcohols and derivatives	Benzopyrans
0.460314859408307	Benzopyrans	Phenol ethers
0.431904876174068	Phenol ethers	Flavonoids
0.427312511761119	1-acyl-sn-glycero-3-phosphocholines	Hydroxy acids and derivatives
0.415923517194821	Hydroxy acids and derivatives	L-alpha-amino acids
0.409020522934925	1-acyl-sn-glycero-3-phosphocholines	Azolidines
0.405786651152107	Organic sulfuric acids and derivatives	Dipeptides
0.398947938314302	Bile acids, alcohols and derivatives	Very long-chain fatty acids
0.391859449298442	1-acyl-sn-glycero-3-phosphocholines	L-alpha-amino acids
0.367525537642208	Phenol ethers	Very long-chain fatty acids
0.36126440315595	Benzopyrans	Very long-chain fatty acids
0.341596349374137	Phenol ethers	Alkyl-phenylketones
0.32782575072693	Bile acids, alcohols and derivatives	Hydroxy acids and derivatives
0.325640273730054	Bile acids, alcohols and derivatives	Dicarboxylic acids and derivatives
0.324917281740118	L-alpha-amino acids	1-acyl-sn-glycero-3-phosphoethanolamines
0.320566688270675	Bile acids, alcohols and derivatives	Phenol ethers
0.315294286623886	Dicarboxylic acids and derivatives	Coumarins and derivatives
0.311650463122267	Bile acids, alcohols and derivatives	L-alpha-amino acids
0.309414771504602	Bile acids, alcohols and derivatives	1-acyl-sn-glycero-3-phosphocholines
0.308490997311332	Hydroxy acids and derivatives	Benzopyrans
0.304467327810583	L-alpha-amino acids	Sphingolipids
0.29661441246017	1-acyl-sn-glycero-3-phosphocholines	Dicarboxylic acids and derivatives
0.268578437323754	Hydroxy acids and derivatives	Very long-chain fatty acids
0.262941490905603	L-alpha-amino acids	Benzopyrans
0.253539257849283	Bile acids, alcohols and derivatives	Coumarins and derivatives
0.244762991006796	Hydroxy acids and derivatives	Phenol ethers
0.22930645858728	Dicarboxylic acids and derivatives	Benzopyrans
0.228376138183541	Dicarboxylic acids and derivatives	L-alpha-amino acids
0.226382918884203	Bile acids, alcohols and derivatives	Azolidines
0.221785714603653	Ergosterols and derivatives	Annonaceous acetogenins
0.205419557986462	Ergosterols and derivatives	Medium-chain fatty acids
0.205214218213797	Bile acids, alcohols and derivatives	1-acyl-sn-glycero-3-phosphoethanolamines
0.198314836694201	Tricarboxylic acids and derivatives	Coumarins and derivatives
0.196168975282095	Bile acids, alcohols and derivatives	Tricarboxylic acids and derivatives
0.193729611105294	L-alpha-amino acids	Coumarins and derivatives
0.189386486619946	Coumarins and derivatives	Medium-chain fatty acids
0.18478896280938	Hydroxy acids and derivatives	Dicarboxylic acids and derivatives
0.182620707019599	L-alpha-amino acids	Organic sulfuric acids and derivatives
0.178838609162197	Carboximidic acids and derivatives	Phenol ethers
0.174542602522822	Dicarboxylic acids and derivatives	1-acyl-sn-glycero-3-phosphoethanolamines
0.169883047437917	L-alpha-amino acids	Tricarboxylic acids and derivatives
0.168315368331509	Dicarboxylic acids and derivatives	Very long-chain fatty acids
0.155891512583012	Dicarboxylic acids and derivatives	Sphingolipids
0.153838376142561	Benzopyrans	Coumarins and derivatives
0.152267089076869	Ergosterols and derivatives	Alkyl-phenylketones
0.151871598051099	Cholesterols and derivatives	Annonaceous acetogenins
0.151009870265332	Bile acids, alcohols and derivatives	Organic sulfuric acids and derivatives
0.149573207306444	L-alpha-amino acids	Phenol ethers
0.145174760858808	Quinolines and derivatives	Dipeptides
0.139359551089375	Benzopyrans	Dipeptides
0.136694943421027	Alkyl-phenylketones	Annonaceous acetogenins
0.13257211184746	Benzopyrans	Quinolines and derivatives
0.129231311097842	Bile acids, alcohols and derivatives	Sphingolipids
0.129180402753691	Bile acids, alcohols and derivatives	Dipeptides
0.128174640444823	Dicarboxylic acids and derivatives	Phenol ethers
0.12563149515632	Bile acids, alcohols and derivatives	Cholesterols and derivatives
0.125309227740623	Sphingolipids	Dipeptides
0.124374304960306	Hydroxy acids and derivatives	Dipeptides
0.123411149306816	Tetrahydroisoquinolines	Alkyl-phenylketones
0.122534007170635	L-alpha-amino acids	Very long-chain fatty acids
0.119820211785647	Ergosterols and derivatives	Flavonoids
0.119058387811923	Bile acids, alcohols and derivatives	Quinolines and derivatives
0.112331518395287	Dicarboxylic acids and derivatives	Azolidines
0.10927830322279	1-acyl-sn-glycero-3-phosphoethanolamines	Dipeptides
0.108264529180694	Azolidines	Coumarins and derivatives
0.102855829310542	Coumarins and derivatives	Dipeptides
0.101894966522639	1-acyl-sn-glycero-3-phosphoethanolamines	Tricarboxylic acids and derivatives
0.100701080708571	1-acyl-sn-glycero-3-phosphoethanolamines	Coumarins and derivatives
0.100426892980597	Annonaceous acetogenins	Medium-chain fatty acids
0.100321065434101	Phenol ethers	Dipeptides
0.100021877628669	Phenol ethers	Organic sulfuric acids and derivatives
0.0995296654218069	Phenol ethers	Quinolines and derivatives
0.0987223614766496	1-acyl-sn-glycero-3-phosphocholines	Coumarins and derivatives
0.098468331846007	Tricarboxylic acids and derivatives	Organic sulfuric acids and derivatives
0.0984274774144198	Azolidines	Dipeptides
0.0980938837532232	Hydroxy acids and derivatives	Organic sulfuric acids and derivatives
0.0969256655717866	Dicarboxylic acids and derivatives	Quinolines and derivatives
0.0933088139505141	Carboximidic acids and derivatives	Quinolines and derivatives
0.0908820558423348	Benzopyrans	Medium-chain fatty acids
0.0907741449609141	Benzopyrans	Organic sulfuric acids and derivatives
0.0881431410836169	L-alpha-amino acids	Dipeptides
0.086953041512446	Alkyl-phenylketones	Cholesterols and derivatives
0.0864012812934143	Very long-chain fatty acids	Dipeptides
0.0861623780088778	Azolidines	Benzopyrans
0.0855105202773452	Quinolines and derivatives	Very long-chain fatty acids
0.0846119508185758	Dicarboxylic acids and derivatives	Organic sulfuric acids and derivatives
0.0836341137966708	L-alpha-amino acids	Quinolines and derivatives
0.0812286901243217	Carboximidic acids and derivatives	Very long-chain fatty acids
0.0811195806975057	1-acyl-sn-glycero-3-phosphocholines	Organic sulfuric acids and derivatives
0.0797547448595474	Tetrahydroisoquinolines	Cholesterols and derivatives
0.0792243690035717	Ergosterols and derivatives	Tetrahydroisoquinolines
0.0783555289578278	Hydroxy acids and derivatives	Coumarins and derivatives
0.0779218643168123	Dicarboxylic acids and derivatives	Dipeptides
0.0775982095937785	1-acyl-sn-glycero-3-phosphocholines	Tricarboxylic acids and derivatives
0.0768481524986038	Cholesterols and derivatives	Medium-chain fatty acids
0.0767730160988966	1-acyl-sn-glycero-3-phosphoethanolamines	Organic sulfuric acids and derivatives
0.0756771471315361	Organic sulfuric acids and derivatives	Very long-chain fatty acids
0.0748339933043146	Flavonoids	Annonaceous acetogenins
0.0728852917816067	Carboximidic acids and derivatives	Flavonoids
0.069691984280835	1-acyl-sn-glycero-3-phosphocholines	Quinolines and derivatives
0.0688697815651126	Carboximidic acids and derivatives	Dipeptides
0.0665072656474075	1-acyl-sn-glycero-3-phosphocholines	Very long-chain fatty acids
0.064794619372724	1-acyl-sn-glycero-3-phosphocholines	Dipeptides
0.0644202624982763	Tetrahydroisoquinolines	Annonaceous acetogenins
0.0639942119577822	Cholesterols and derivatives	Flavonoids
0.0617305679344361	Azolidines	Tricarboxylic acids and derivatives
0.0586241085904726	Carboximidic acids and derivatives	Organic sulfuric acids and derivatives
0.0578324109384273	Organic sulfuric acids and derivatives	Coumarins and derivatives
0.0574483351780542	Tricarboxylic acids and derivatives	Cholesterols and derivatives
0.0574174546962997	Alkyl-phenylketones	Very long-chain fatty acids
0.0569118109700986	Organic sulfuric acids and derivatives	Quinolines and derivatives
0.0543589993549749	Cholesterols and derivatives	Coumarins and derivatives
0.053021192413082	1-acyl-sn-glycero-3-phosphocholines	Benzopyrans
0.0492940736470104	Sphingolipids	Very long-chain fatty acids
0.0460683803436442	Tricarboxylic acids and derivatives	Dipeptides
0.0402828545793487	Carboximidic acids and derivatives	Sphingolipids
0.0382704741404504	Flavonoids	Medium-chain fatty acids
0.0378978286802547	Quinolines and derivatives	Coumarins and derivatives
0.0377767369556864	Hydroxy acids and derivatives	Sulfated steroids
0.0369194555750326	Carboximidic acids and derivatives	Benzopyrans
0.0360348594855511	Sulfated steroids	Dipeptides
0.0329359804082816	Benzopyrans	Tricarboxylic acids and derivatives
0.0327326263175515	Phenol ethers	Sulfated steroids
0.0318905120082692	Hydroxy acids and derivatives	Quinolines and derivatives
0.0270196469156865	Dicarboxylic acids and derivatives	Tricarboxylic acids and derivatives
0.0268003141610605	Sulfated steroids	Annonaceous acetogenins
0.0259072784202997	Dicarboxylic acids and derivatives	Carboximidic acids and derivatives
0.0232665646274268	Sphingolipids	Organic sulfuric acids and derivatives
0.0228424682090862	Azolidines	Organic sulfuric acids and derivatives
0.0207404743428531	Phenol ethers	Medium-chain fatty acids
0.0205598290787879	Azolidines	Very long-chain fatty acids
0.0204508913610066	Azolidines	Phenol ethers
0.0202579485895256	Bile acids, alcohols and derivatives	Carboximidic acids and derivatives
0.0195417168690074	Tricarboxylic acids and derivatives	Alkyl-phenylketones
