"Pval"	"Spec"
"Methanobrevibacter_smithii"	0.047	-0.1942
"Rothia_mucilaginosa"	0.980441860465116	0.0225
"Propionibacterium_freudenreichii"	0.308603773584906	-0.169
"Bifidobacterium_adolescentis"	0.047	-0.1508
"Bifidobacterium_animalis"	0.980441860465116	0.0894
"Bifidobacterium_bifidum"	0.130153846153846	-0.1021
"Bifidobacterium_breve"	0.866809160305343	0.0357
"Bifidobacterium_catenulatum"	0.724148148148148	-0.0148
"Bifidobacterium_dentium"	0.894044444444444	-0.0074
"Bifidobacterium_longum"	0.0671428571428571	-0.071
"Bifidobacterium_pseudocatenulatum"	0.999260869565217	0.0609
"Adlercreutzia_equolifaciens"	0.0716190476190476	-0.0738
"Collinsella_aerofaciens"	0.0671428571428571	-0.0696
"Collinsella_intestinalis"	0.303692307692308	-0.2003
"Collinsella_unclassified"	1	0.1211
"Eggerthella_lenta"	0.403573333333333	-0.0704
"Eggerthella_sp_1_3_56FAA"	0.55225	-0.0676
"Eggerthella_unclassified"	0.0716190476190476	-0.0798
"Gordonibacter_pamelaeae"	0.156666666666667	-0.0957
"Slackia_piriformis"	0.361757575757576	-0.0967
"Bacteroides_caccae"	0.980441860465116	0.0461
"Bacteroides_cellulosilyticus"	0.64878431372549	-0.0252
"Bacteroides_dorei"	0.980441860465116	0.0379
"Bacteroides_eggerthii"	0.792935483870968	-0.0412
"Bacteroides_faecis"	0.980441860465116	0.0568
"Bacteroides_finegoldii"	0.980441860465116	0.0384
"Bacteroides_fragilis"	0.455623529411765	-0.0575
"Bacteroides_intestinalis"	0.328203389830508	-0.2235
"Bacteroides_massiliensis"	0.992222222222222	0.0463
"Bacteroides_ovatus"	0.980441860465116	0.0231
"Bacteroides_salyersiae"	0.980441860465116	0.0974
"Bacteroides_stercoris"	1	0.0875
"Bacteroides_thetaiotaomicron"	0.980441860465116	0.055
"Bacteroides_uniformis"	0.920927536231884	0.0107
"Bacteroides_vulgatus"	0.985672316384181	0.0354
"Bacteroides_xylanisolvens"	0.735793103448276	-0.0213
"Bacteroidales_bacterium_ph8"	0.047	-0.129
